Date,daily_sentiment_score,weighted_sentiment_score,positive_ratio,negative_ratio,neutral_ratio,positive_count,negative_count,neutral_count,news_count,avg_confidence,sentiment_std,strong_positive_count,strong_negative_count,net_sentiment,intraday_daily_sentiment_score,intraday_weighted_sentiment_score,intraday_positive_ratio,intraday_negative_ratio,intraday_neutral_ratio,intraday_positive_count,intraday_negative_count,intraday_neutral_count,intraday_news_count,intraday_avg_confidence,intraday_sentiment_std,intraday_strong_positive_count,intraday_strong_negative_count,intraday_net_sentiment,intraday_news_available,intraday_news_share
2020-01-02,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.8278456330299377,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-01-06,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.8532711863517761,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-01-07,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0.9082137048244476,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-01-08,0.15384615384615385,0.0977814976985638,0.15384615384615385,0.0,0.8461538461538461,2,0,11,13,0.7815343691752508,0.3755338080994054,0,0,0.15384615384615385,,,,,,,,,,,,,,,0,0.0
2020-01-09,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0.7745349109172821,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-01-10,0.3333333333333333,0.2362473209698995,0.3333333333333333,0.0,0.6666666666666666,1,0,2,3,0.722707728544871,0.5773502691896258,0,0,0.3333333333333333,,,,,,,,,,,,,,,0,0.0
2020-01-13,-0.2,-0.17663185596466063,0.0,0.2,0.8,0,1,4,5,0.8741418123245239,0.447213595499958,0,0,-0.2,,,,,,,,,,,,,,,0,0.0
2020-01-14,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0.8506731986999512,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-01-15,0.5,0.4616347551345825,0.5,0.0,0.5,1,0,1,2,0.8536942899227142,0.7071067811865476,1,0,0.5,,,,,,,,,,,,,,,0,0.0
2020-01-16,0.75,0.5362579673528671,0.75,0.0,0.25,3,0,1,4,0.7559517472982407,0.5,0,0,0.75,,,,,,,,,,,,,,,0,0.0
2020-01-17,0.5,0.3285600244998932,0.5,0.0,0.5,2,0,2,4,0.7662686854600906,0.5773502691896257,0,0,0.5,,,,,,,,,,,,,,,0,0.0
2020-01-21,0.3333333333333333,0.22966845830281576,0.3333333333333333,0.0,0.6666666666666666,1,0,2,3,0.788680911064148,0.5773502691896258,0,0,0.3333333333333333,,,,,,,,,,,,,,,0,0.0
2020-01-22,0.0,0.0,0.0,0.0,1.0,0,0,3,3,0.8652520378430685,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-01-23,0.4,0.298915308713913,0.4,0.0,0.6,4,0,6,10,0.7855556607246399,0.5163977794943222,0,0,0.4,,,,,,,,,,,,,,,0,0.0
2020-01-24,1.0,0.7501838405927023,1.0,0.0,0.0,3,0,0,3,0.7501838405927023,0.0,0,0,1.0,,,,,,,,,,,,,,,0,0.0
2020-01-27,0.2,0.17922027111053468,0.2,0.0,0.8,1,0,4,5,0.8564644098281861,0.447213595499958,0,0,0.2,,,,,,,,,,,,,,,0,0.0
2020-01-30,0.0,0.0,0.0,0.0,1.0,0,0,3,3,0.8524469335873922,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-01-31,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0.743771880865097,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-02-03,0.25,0.20383314788341522,0.25,0.0,0.75,1,0,3,4,0.7627904117107391,0.5,0,0,0.25,,,,,,,,,,,,,,,0,0.0
2020-02-04,1.0,0.917194128036499,1.0,0.0,0.0,1,0,0,1,0.917194128036499,0.0,1,0,1.0,,,,,,,,,,,,,,,0,0.0
2020-02-05,0.25,0.17487504333257675,0.375,0.125,0.5,3,1,4,8,0.7159400209784508,0.7071067811865476,0,0,0.25,,,,,,,,,,,,,,,0,0.0
2020-02-06,-0.25,-0.2266845554113388,0.0,0.25,0.75,0,1,3,4,0.8789529055356979,0.5,0,1,-0.25,,,,,,,,,,,,,,,0,0.0
2020-02-07,0.5,0.4274963289499283,0.5,0.0,0.5,2,0,2,4,0.7717906981706619,0.5773502691896257,0,0,0.5,,,,,,,,,,,,,,,0,0.0
2020-02-10,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0.8206133246421814,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-02-11,-0.3333333333333333,-0.319210688273112,0.0,0.3333333333333333,0.6666666666666666,0,1,2,3,0.8872372309366862,0.5773502691896258,0,1,-0.3333333333333333,,,,,,,,,,,,,,,0,0.0
2020-02-14,0.25,0.23239842057228088,0.25,0.0,0.75,1,0,3,4,0.8092703223228455,0.5,1,0,0.25,,,,,,,,,,,,,,,0,0.0
2020-02-18,-0.16666666666666666,-0.09064819415410359,0.16666666666666666,0.3333333333333333,0.5,1,2,3,6,0.7885937690734863,0.752772652709081,0,0,-0.16666666666666666,,,,,,,,,,,,,,,0,0.0
2020-02-19,0.5,0.34601788222789764,0.5,0.0,0.5,2,0,2,4,0.7797438502311707,0.5773502691896257,0,0,0.5,,,,,,,,,,,,,,,0,0.0
2020-02-20,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.942803144454956,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-02-24,0.25,0.18654251098632812,0.25,0.0,0.75,1,0,3,4,0.8551982790231705,0.5,0,0,0.25,,,,,,,,,,,,,,,0,0.0
2020-02-25,1.0,0.613756000995636,1.0,0.0,0.0,1,0,0,1,0.613756000995636,0.0,0,0,1.0,,,,,,,,,,,,,,,0,0.0
2020-02-26,-0.5,-0.4801553189754486,0.0,0.5,0.5,0,1,1,2,0.9218172132968903,0.7071067811865476,0,1,-0.5,,,,,,,,,,,,,,,0,0.0
2020-03-02,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.9051169753074646,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-03-03,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.5346561670303345,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-03-04,0.6666666666666666,0.5624319314956665,0.6666666666666666,0.0,0.3333333333333333,2,0,1,3,0.7741482257843018,0.5773502691896258,0,0,0.6666666666666666,,,,,,,,,,,,,,,0,0.0
2020-03-06,0.0,0.0,0.0,0.0,1.0,0,0,3,3,0.8931428988774618,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-03-09,-0.14285714285714285,-0.09285669667380196,0.0,0.14285714285714285,0.8571428571428571,0,1,6,7,0.7984974810055324,0.37796447300922725,0,0,-0.14285714285714285,,,,,,,,,,,,,,,0,0.0
2020-03-10,0.5,0.37861087918281555,0.5,0.0,0.5,2,0,2,4,0.8417535275220871,0.5773502691896257,1,0,0.5,,,,,,,,,,,,,,,0,0.0
2020-03-11,0.16666666666666666,0.1398530105749766,0.16666666666666666,0.0,0.8333333333333334,1,0,5,6,0.8833190004030863,0.408248290463863,0,0,0.16666666666666666,,,,,,,,,,,,,,,0,0.0
2020-03-12,0.75,0.5982525199651718,0.75,0.0,0.25,3,0,1,4,0.8112227618694305,0.5,0,0,0.75,,,,,,,,,,,,,,,0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.9246068000793457,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-03-18,0.5,0.4405275881290436,0.5,0.0,0.5,1,0,1,2,0.8283453583717346,0.7071067811865476,0,0,0.5,,,,,,,,,,,,,,,0,0.0
2020-03-19,-0.4,-0.3352643370628357,0.0,0.4,0.6,0,2,3,5,0.8656184792518615,0.5477225575051662,0,1,-0.4,,,,,,,,,,,,,,,0,0.0
2020-03-23,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0.8886082470417023,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-03-25,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.7863855361938477,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-03-30,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0.8003213405609131,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-03-31,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0.798132985830307,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-04-02,1.0,0.7842367589473724,1.0,0.0,0.0,2,0,0,2,0.7842367589473724,0.0,0,0,1.0,,,,,,,,,,,,,,,0,0.0
2020-04-03,1.0,0.942367434501648,1.0,0.0,0.0,1,0,0,1,0.942367434501648,0.0,1,0,1.0,,,,,,,,,,,,,,,0,0.0
2020-04-06,-0.5,-0.47778213024139404,0.0,0.5,0.5,0,1,1,2,0.7914156913757324,0.7071067811865476,0,1,-0.5,,,,,,,,,,,,,,,0,0.0
2020-04-08,1.0,0.9273918271064758,1.0,0.0,0.0,1,0,0,1,0.9273918271064758,0.0,1,0,1.0,,,,,,,,,,,,,,,0,0.0
2020-04-13,0.0,0.0,0.0,0.0,1.0,0,0,3,3,0.8961803118387858,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-04-14,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.7435784935951233,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-04-15,1.0,0.9295825958251953,1.0,0.0,0.0,1,0,0,1,0.9295825958251953,0.0,1,0,1.0,,,,,,,,,,,,,,,0,0.0
2020-04-16,0.0,-0.11102336645126343,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,3,0.7754908601442972,1.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-04-17,1.0,0.756114661693573,1.0,0.0,0.0,1,0,0,1,0.756114661693573,0.0,0,0,1.0,,,,,,,,,,,,,,,0,0.0
2020-04-20,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.8718494772911072,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-04-21,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0.9288981258869171,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-04-23,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.655269980430603,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-04-27,0.0,0.0,0.0,0.0,1.0,0,0,3,3,0.8151146372159322,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-04-28,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.6352456212043762,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-04-29,0.0,-0.03223236401875814,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,3,0.8685709834098816,1.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-04-30,0.0,0.015977680683135986,0.14285714285714285,0.14285714285714285,0.7142857142857143,1,1,5,7,0.8182606101036072,0.5773502691896257,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-05-01,-0.125,-0.09643422067165375,0.125,0.25,0.625,1,2,5,8,0.8242253437638283,0.6408699444616557,0,1,-0.125,,,,,,,,,,,,,,,0,0.0
2020-05-04,-0.6666666666666666,-0.6251086990038554,0.0,0.6666666666666666,0.3333333333333333,0,8,4,12,0.9074173520008723,0.49236596391733095,0,8,-0.6666666666666666,,,,,,,,,,,,,,,0,0.0
2020-05-05,0.0,0.0,0.0,0.0,1.0,0,0,7,7,0.883092497076307,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-05-06,-0.125,-0.1088443472981453,0.0,0.125,0.875,0,1,7,8,0.7896798998117447,0.3535533905932738,0,0,-0.125,,,,,,,,,,,,,,,0,0.0
2020-05-07,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.7559674382209778,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-05-08,0.0,0.0,0.0,0.0,1.0,0,0,4,4,0.8127461671829224,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-05-11,-0.4,-0.3557626247406006,0.0,0.4,0.6,0,2,3,5,0.8610718846321106,0.5477225575051661,0,1,-0.4,,,,,,,,,,,,,,,0,0.0
2020-05-12,-0.25,-0.161651611328125,0.0,0.25,0.75,0,1,3,4,0.8293145895004272,0.5,0,0,-0.25,,,,,,,,,,,,,,,0,0.0
2020-05-13,-0.5,-0.25001177191734314,0.0,0.5,0.5,0,1,1,2,0.696709007024765,0.7071067811865476,0,0,-0.5,,,,,,,,,,,,,,,0,0.0
2020-05-14,0.3333333333333333,0.16585508982340494,0.3333333333333333,0.0,0.6666666666666666,1,0,2,3,0.7107232809066772,0.5773502691896258,0,0,0.3333333333333333,,,,,,,,,,,,,,,0,0.0
2020-05-15,0.0,-0.06578608751296997,0.2,0.2,0.6,1,1,3,5,0.8110990524291992,0.7071067811865476,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-05-18,0.0,0.0,0.0,0.0,1.0,0,0,6,6,0.8845383326212565,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
2020-05-20,-1.0,-0.8153982162475586,0.0,1.0,0.0,0,1,0,1,0.8153982162475586,0.0,0,0,-1.0,,,,,,,,,,,,,,,0,0.0
2020-05-21,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.9385200142860413,0.0,0,0,0.0,,,,,,,,,,,,,,,0,0.0
