date,title,summary,source,source_domain,url,overall_sentiment_score,overall_sentiment_label,query_tag
20230102T045149,"Tesla Says Company Sold a Record 1.3 Million Vehicles Last Year, Falls Short of 50% Growth Pledge","Tesla announced it sold a record 1.3 million vehicles in 2022, a 40% increase year-over-year, but this figure still fell short of CEO Elon Musk's ambitious 50% growth target for the company. The shortfall occurred despite significant year-end discounts and challenges like rising COVID-19 cases in China impacting production. The company also faces increasing competition and criticism regarding Musk's focus on Twitter, which contributed to a substantial decline in Tesla's stock value last year.",WTTW Chicago,WTTW Chicago,https://news.wttw.com/2023/01/02/tesla-says-company-sold-record-13-million-vehicles-last-year-falls-short-50-growth-pledge,-0.080034,Neutral,alphavantage_tsla
20230103T043025,Better Chinese EV Stock: Nio vs. Li Auto,"This article compares two rapidly growing Chinese electric vehicle makers, Nio and Li Auto, to determine which is a better investment. It highlights their different product offerings, growth rates, and financial metrics, concluding that Li Auto is the more compelling choice due to stronger growth, higher vehicle margins, and profitability, making it a potential hidden gem for investors looking for an alternative to struggling U.S. EV makers.",The Globe and Mail,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/LI-Q/pressreleases/12965835/better-chinese-ev-stock-nio-vs-li-auto/,0.202212,Somewhat-Bullish,alphavantage_tsla
20230103T044742,Tesla stock suffers worst-ever year in 2022 despite deliveries hitting record high,"Tesla's stock experienced its worst year in 2022, plummeting 65% despite recording an all-time high of 1.3 million vehicle deliveries. This decline was attributed to logistical challenges, fears of slowing demand, Elon Musk's stock offloading, and his acquisition of Twitter. Analysts project improved logistics and continued delivery growth in 2023, though concerns about demand amid economic slowdowns persist.",FOREX.com,FOREX.com,https://www.forex.com/ie/news-and-analysis/where-next-for-tesla-stock-as-deliveries-hit-record-high-in-2022/,-0.227083,Somewhat-Bearish,alphavantage_tsla
20230103T064900,Foxconn to use Nvidia chips to build self-driving vehicle platforms,"Electronics manufacturer Foxconn and chipmaker Nvidia Corp have partnered to develop autonomous vehicle platforms. Foxconn will manufacture electronic control units (ECUs) based on Nvidia's DRIVE Orin chip for self-driving cars, aiming to address challenges in the global automotive market. Nvidia views this collaboration as a way to scale its efforts and meet the increasing demand for chips in autonomous and connected vehicles, projecting a $300 billion market opportunity in the automotive sector.",Reuters,Reuters,https://www.reuters.com/business/autos-transportation/nvidia-foxconn-build-autonomous-vehicle-platforms-2023-01-03/,0.224312,Somewhat-Bullish,alphavantage_tsla
20230103T115300,"Lucid, Rivian and others should explore distribution deals with established brands","The article suggests that emerging EV manufacturers like Lucid and Rivian should consider forming distribution partnerships with established automotive brands. This strategy could help these newer companies overcome challenges related to scaling production and expanding market reach. By leveraging existing dealership networks and infrastructure, they might achieve greater success in the competitive EV market.",Automotive News,Automotive News,https://www.autonews.com/blogs/lucid-rivian-and-others-should-explore-distribution-deals-established-brands/,0.172113,Somewhat-Bullish,alphavantage_tsla
20230103T120500,Tuesday's ETF with Unusual Volume: IWL,"The iShares Russell Top 200 ETF (IWL) experienced unusually high trading volume on Tuesday, with shares down about 0.8%. Tesla and Apple, major components of the ETF, saw significant trading volume and share price drops, while PayPal Holdings performed best, rising 4.3%.",Nasdaq,Nasdaq,https://www.nasdaq.com/articles/tuesdays-etf-with-unusual-volume:-iwl,-0.11514,Neutral,alphavantage_tsla
20230104T042048,GM ships 2.2 million U.S. vehicles in 2022,"General Motors (NYSE: GM) delivered 2.2 million vehicles in the U.S. in 2022, securing its position as the industry leader in total sales and key market segments like full-size pickups and SUVs. The company plans to expand its electric vehicle market share in 2023 with nine EV models, including the bestselling Chevrolet Bolt EV and Bolt EUV series. GM's strategy centers on the Ultium battery platform to power a wide range of vehicles for an all-electric future.",General Motors,General Motors,https://news.gm.com/home.detail.html/Pages/news/us/en/2023/jan/0104-gmsales.html,0.123772,Neutral,alphavantage_tsla
20230104T042106,Market Insights: EVs and plug-in hybrids to represent 81 percent of new U.S. vehicle sales in 2045,"A forecast predicts that electric vehicles (EVs) and plug-in hybrids (PHEVs) will constitute 81% of new U.S. light vehicle sales by 2045, making up 42% of all vehicles in operation. The projection also highlights an anticipated reduction in the total cost of EV ownership due to decreasing battery costs. However, infrastructure challenges, including the availability and reliability of charging stations, remain significant hurdles for EV adoption.",Aftermarket Matters,Aftermarket Matters,https://www.aftermarketmatters.com/national-news/market-insights-evs-and-plug-in-hybrids-to-represent-81-percent-of-new-u-s-vehicle-sales-in-2045/,0.312209,Somewhat-Bullish,alphavantage_tsla
20230104T043646,"Hyundai, BYD, Polestar adopt Nvidia’s cloud gaming service","Hyundai Motor Group, BYD, and Polestar have adopted Nvidia's cloud-based gaming service, GeForce NOW, for their vehicles. This integration allows drivers and passengers to stream games, with plans to expand the number of available titles in Hyundai's electric vehicles. Hyundai has collaborated with Nvidia since 2020 on AI-powered connected car technology and previously adopted the Nvidia Drive platform.",KED Global,KED Global,https://www.kedglobal.com/automobiles/newsView/ked202301040022,0.337127,Somewhat-Bullish,alphavantage_tsla
20230104T045150,Report: South Korea fines Tesla $2.2M over cold-weather range,"South Korea has fined Tesla 2.85 billion won ($2.2 million) for allegedly misleading consumers about the driving range of its electric vehicles, particularly concerning performance in cold weather. The Korea Fair Trade Commission (KFTC) found that Tesla's website did not adequately disclose the significant range reduction—up to 50.5%—that its EVs experience in cold temperatures. This decision follows a 2021 finding by a consumer advocacy group highlighting similar issues with EV range in winter conditions in South Korea.",Green Car Reports,Green Car Reports,https://www.greencarreports.com/news/1138324_report-south-korea-fines-tesla-2-2m-over-cold-weather-range,-0.424342,Bearish,alphavantage_tsla
20230105T044204,Sony and Honda unveil Afeela EV as part of CES 2023,"Sony Honda Mobility unveiled the Afeela EV prototype at CES 2023, showcasing a software-defined vehicle with 45 sensors, 5G connectivity, and entertainment features. The joint venture, which became official in October, aims to deliver premium EVs in North America and Japan starting in 2026, leveraging expertise from Sony and Honda. Collaborations with Qualcomm and Epic Games underscore a focus on advanced in-car experiences and continuous updates for the vehicle.",Alabama News Center,Alabama News Center,https://alabamanewscenter.com/2023/01/05/sony-and-honda-unveil-afeela-ev-as-part-of-ces-2023/,0.243534,Somewhat-Bullish,alphavantage_tsla
20230106T040200,The ARK Innovation ETF: Tesla Is Cathie Wood’s Latest Problem,"The ARK Innovation ETF (ARKK) is experiencing a difficult start to 2023, largely due to the continued selloff of Tesla Inc. (TSLA) stock, its most heavily weighted investment. Despite averaging down on Tesla, its weighting in ARKK has decreased to 6.6%, though overconcentration remains a concern for the fund.",Seeking Alpha,Seeking Alpha,https://seekingalpha.com/article/4568232-arkk-tesla-cathie-wood-latest-problem,-0.25407,Somewhat-Bearish,alphavantage_tsla
20230106T045149,Tesla's stock lost over $700 billion in value. Elon Musk's Twitter deal didn't help,"Tesla's stock plummeted by 65% in 2022, losing over $700 billion in value due to a tough year for the auto industry, increased competition in the EV market, and investor concerns over Elon Musk's distraction with his Twitter acquisition. Despite the significant stock drop, Tesla still leads the EV market and remains the world's most valuable automaker. The article highlights that while Tesla's sales volume will likely continue to grow, the stock market is re-evaluating its valuation from a tech company to an auto manufacturer.",NPR,NPR,https://www.npr.org/2023/01/06/1146941980/tesla-shares-elon-musk-twitter-electric-cars,-0.668634,Bearish,alphavantage_tsla
20230106T045600,Chinese companies lead in LiDAR tech,"Chinese companies are leading the global market in LiDAR technology, a key component for autonomous driving, with the potential to make cars safer and smarter. Companies like Hesai and RoboSense showcased advanced LiDAR products at CES 2023, highlighting their significant developments, market partnerships, and plans for mass production and expansion into the US market. The article emphasizes that these advancements are bringing fully autonomous consumer cars closer to reality.",China Daily,China Daily,https://www.chinadaily.com.cn/a/202301/06/WS63b7a627a31057c47eba81d9.html,0.297961,Somewhat-Bullish,alphavantage_tsla
